pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,837.53
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,863.02
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,883.52
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,877.42
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,872.04
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,862.05
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,851.35
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,837.53
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,863.02
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,883.52
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,877.42
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,872.04
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,862.05
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,851.35
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,837.53
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,863.02
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,883.52
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,877.42
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,872.04
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,862.05
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,851.35
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,837.53
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,863.02
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,883.52
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,877.42
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,872.04
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,862.05
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,851.35
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,837.53
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,863.02
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,883.52
